Step,Train,Test
500,0.9401524631679058,0.3786381896389158
1000,0.632023332029581,0.3198971743724848
1500,0.5199311063736677,0.3294869913709791
2000,0.4635373468734324,0.2949190358699937
2500,0.42639744794890283,0.29393585721521
3000,0.40153135049156846,0.2746400841560803
3500,0.3849440368355385,0.29600406632611626
4000,0.3699987309211865,0.27533825808449797
4500,0.35962853574256104,0.2689582510018035
5000,0.3482977730538696,0.2697221730767112
5500,0.3408957996463234,0.2733944067711893
6000,0.33378063028274724,0.262198125335731
6500,0.32729781237703104,0.2652465914621165
7000,0.32147723102782455,0.24937914487562682
7500,0.3169167626321316,0.25743969313016063
8000,0.24752600357308985,0.2585094453570874
8500,0.2458697975669056,0.24227843303037316
9000,0.2420986901993553,0.23551400863418454
9500,0.23965405713859947,0.23503773897690208
10000,0.23684489218108357,0.23040293265134096
10500,0.23325411556630085,0.23744981201267557
11000,0.22881841960788837,0.24656393684054675
11500,0.22782735448726452,0.23805714919378884
12000,0.22556692591433725,0.22971986577306924
12500,0.22478050090745091,0.2166666200423711
13000,0.22432632265934213,0.2214549960313659
13500,0.2234824335682206,0.22324888737970278
14000,0.22223542903521312,0.2251140273676107
14500,0.22131958730106374,0.2211032367458469
15000,0.2197659692272544,0.2092258614164434
15500,0.20513491071760653,0.22801239105823792
16000,0.20298433835152538,0.21577685314769807
16500,0.20423181554240485,0.22036939977227074
17000,0.1988242628965527,0.21133054730923553
17500,0.1998197603840381,0.21304683296304
18000,0.20037119236619522,0.2053775454861553
18500,0.19960687101339655,0.20530952577332132
19000,0.1973943553303834,0.21578986888457286
19500,0.19575332343723212,0.22144405310875492
20000,0.19497522406578063,0.2106367180143532
20500,0.19405453458106653,0.20847187081057775
21000,0.19344542181259022,0.21339435011932725
21500,0.1937728203761463,0.2010568615225585
22000,0.1949739227312218,0.19948449514218067
22500,0.19431102122962474,0.20024184686180793
23000,0.20892137072607875,0.20064355560039218
23500,0.19160774437896907,0.2110410565824101
24000,0.19264332610182464,0.20390912198902744
24500,0.1911568374573253,0.20090758068192946
25000,0.18915723532512785,0.2025453537388852
25500,0.18683146463676045,0.19999507510740505
26000,0.18313100751116873,0.21125989849434088
26500,0.18331704121641815,0.19258272927450507
27000,0.1837835232294682,0.19333135106845906
27500,0.1840407865639776,0.20018297477184158
28000,0.1832782249723307,0.19786814016535093
28500,0.18178441777157908,0.1987609786618697
29000,0.18144383821564797,0.19570410034570254
29500,0.1810245979268636,0.1942702966555953
30000,0.181035595418637,0.1890510295527546
